Nom,Score,Difficulte,Date
,65.39,Moyen,2024-02-21
,28.08,Moyen,2024-02-21
,25.91,Facile,2024-02-21
,22.66,Facile,2024-02-21
,16.16,Moyen,2024-02-21
,15.99,Facile,2024-02-21
,12.15,Moyen,2024-02-21
,11.83,Facile,2024-02-21
,11.41,Moyen,2024-02-21
,10.57,Facile,2024-02-21
,8.69,Moyen,2024-02-21
,6.01,Difficile,2024-02-21
,4.98,Moyen,2024-02-21
,4.93,Facile,2024-02-21
,4.92,Facile,2024-02-21
666,4.80,Moyen,2024-02-21
,4.65,Moyen,2024-02-21
,4.47,Difficile,2024-02-21
,4.41,Moyen,2024-02-21
,3.90,Moyen,2024-02-21
,3.82,Facile,2024-02-21
,2.94,Facile,2024-02-21
,1.90,Difficile,2024-02-21
,1.82,Difficile,2024-02-21
666,1.58,Moyen,2024-02-21
,1.40,Moyen,2024-02-21
,0.99,Facile,2024-02-21
,0.84,Facile,2024-02-21
,0.76,Difficile,2024-02-21
,0.54,Difficile,2024-02-21
,0.38,Difficile,2024-02-21
